step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
24610,2023-07-03 14:19:08.576617608,1,192.93,1.0,-0.2805420820430067,0.25398218204301576,0.009999999999990905,0.0165599
24613,2023-07-03 14:19:09.829819433,2,192.92,1.0,-0.06250000464465386,0.03591850464463453,0.010000000000019327,0.0165815
24614,2023-07-03 14:19:09.829916680,2,192.92,1.0,-0.13732376649856498,0.11070826649854565,0.010000000000019327,0.0166155
24615,2023-07-03 14:19:09.829916680,1,192.92,1.0,-0.1864734663836561,0.16459926638366065,0.0049999999999954525,0.0168742
24620,2023-07-03 14:19:11.536324357,1,192.93,1.0,-0.10828737804103226,0.09157457804103226,0.0,0.0167128
24621,2023-07-03 14:19:11.536325910,2,192.93,1.0,-0.15333109083772775,0.13677359083772775,0.0,0.0165575
24623,2023-07-03 14:19:11.937392810,1,192.93,1.0,-0.27099468204301574,0.25398218204301576,0.0,0.0170125
24626,2023-07-03 14:19:11.937392810,1,192.93,1.0,-0.2032110249292171,0.1866380249292171,0.0,0.016573
24631,2023-07-03 14:19:13.003665445,2,192.94,1.0,-0.2705480820430158,0.25398218204301576,0.0,0.0165659
24633,2023-07-03 14:19:14.224562989,1,192.94,1.0,-0.10324825461289563,0.07619465461290473,0.009999999999990905,0.0170536
24640,2023-07-03 14:19:17.461030739,1,192.95,1.0,-0.27085148204301573,0.25398218204301576,0.0,0.0168693
24642,2023-07-03 14:19:17.461030739,1,192.95,1.0,-0.15855229419729103,0.14141129419729104,0.0,0.017141
24645,2023-07-03 14:19:19.653665544,1,192.95,1.0,-0.1875174272365729,0.1703764272365729,0.0,0.017141
24646,2023-07-03 14:19:19.653665544,1,192.95,1.0,-0.04253921820430158,0.025398218204301576,0.0,0.017141
24649,2023-07-03 14:19:19.653665544,1,192.95,1.0,-0.2655141999056228,0.24885069990562278,0.0,0.0166635
